epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,178.006,0.52261,0.41363,0.98883,0.96536,0.90876,0.9623,0.86075,0.49977,0.37317,0.98787,0.000614,0.000614,0.000614
44,181.631,0.47955,0.39465,0.97287,0.96705,0.90761,0.96372,0.87282,0.47151,0.37852,0.97169,0.000581,0.000581,0.000581
45,185.228,0.46389,0.39368,0.97654,0.97008,0.91304,0.97193,0.8809,0.45542,0.3644,0.95935,0.000548,0.000548,0.000548
46,189.446,0.46024,0.38234,0.96926,0.9553,0.9293,0.96588,0.87475,0.45472,0.35133,0.95229,0.000515,0.000515,0.000515
47,193.142,0.44663,0.37573,0.96093,0.98223,0.90118,0.96801,0.87296,0.46635,0.35872,0.95648,0.000482,0.000482,0.000482
48,196.658,0.43365,0.36316,0.96631,0.9543,0.92935,0.97393,0.87916,0.46575,0.3594,0.95572,0.000449,0.000449,0.000449
49,200.392,0.455,0.3861,0.97132,0.97154,0.9277,0.97047,0.88015,0.45605,0.35058,0.94362,0.000416,0.000416,0.000416
50,204.543,0.42908,0.37355,0.96402,0.98246,0.913,0.97078,0.88625,0.42709,0.3429,0.93018,0.000383,0.000383,0.000383
51,210.023,0.36883,0.33032,0.91447,0.98802,0.89677,0.96794,0.88718,0.43633,0.34451,0.93117,0.00035,0.00035,0.00035
52,213.943,0.34873,0.30133,0.87407,0.99375,0.88587,0.96287,0.88682,0.44192,0.36177,0.9346,0.000317,0.000317,0.000317
53,217.758,0.3267,0.28926,0.87553,0.97705,0.92564,0.97355,0.89397,0.44508,0.33492,0.93471,0.000284,0.000284,0.000284
54,221.29,0.34667,0.2966,0.89712,0.97188,0.9393,0.97617,0.89005,0.45536,0.36354,0.94422,0.000251,0.000251,0.000251
55,224.677,0.32795,0.28233,0.87503,0.96619,0.93175,0.97205,0.88974,0.43552,0.34727,0.94003,0.000218,0.000218,0.000218
56,228.871,0.31894,0.27701,0.86893,0.96626,0.93394,0.97605,0.89882,0.42007,0.34044,0.93176,0.000185,0.000185,0.000185
57,232.419,0.32165,0.28939,0.88072,0.95533,0.9299,0.9734,0.90052,0.41847,0.3354,0.92934,0.000152,0.000152,0.000152
58,235.926,0.31745,0.26773,0.87126,0.95509,0.92935,0.97065,0.89711,0.40991,0.32951,0.9288,0.000119,0.000119,0.000119
59,239.79,0.31213,0.27357,0.86686,0.95816,0.92935,0.97557,0.90002,0.40677,0.32425,0.93074,8.6e-05,8.6e-05,8.6e-05
60,243.683,0.30228,0.26927,0.86818,0.95537,0.93066,0.97592,0.90311,0.39806,0.32163,0.92935,5.3e-05,5.3e-05,5.3e-05
